,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
62,2586,Rayman Raving Rabbids 2,DS,2007,Misc,Ubisoft,0.73,0.01,0.0,0.06,0.8
63,1038,Imagine: Teacher,DS,2008,Simulation,Ubisoft,0.7,0.83,0.0,0.19,1.72
64,1333,My Word Coach,DS,2007,Misc,Ubisoft,0.37,0.9,0.0,0.18,1.45
65,8932,Rayman Raving Rabbids,DS,2007,Misc,Ubisoft,0.13,0.01,0.0,0.01,0.15
66,2827,Rabbids Go Home,DS,2009,Platform,Ubisoft,0.35,0.3,0.0,0.07,0.72
67,1922,Imagine: Fashion Designer New York,DS,2008,Simulation,Ubisoft,0.65,0.32,0.0,0.1,1.07
68,1982,Imagine: Animal Doctor,DS,2007,Simulation,Ubisoft,0.45,0.49,0.0,0.11,1.05
69,8687,Bomberman,DS,2005,Puzzle,Ubisoft,0.1,0.02,0.03,0.01,0.16
70,2033,Petz: Catz 2,DS,2007,Simulation,Ubisoft,0.51,0.4,0.0,0.11,1.02
71,2081,Puzzler Collection,DS,2008,Puzzle,Ubisoft,0.17,0.78,0.0,0.04,1.0
72,3998,The Price is Right,DS,2008,Misc,Ubisoft,0.46,0.0,0.0,0.04,0.5
73,7026,Shaun White Snowboarding,DS,2008,Sports,Ubisoft,0.21,0.0,0.0,0.02,0.23
74,2638,Puzzler World,DS,2009,Puzzle,Ubisoft,0.41,0.3,0.0,0.07,0.78
75,8716,Prince of Persia: The Forgotten Sands,DS,2010,Action,Ubisoft,0.14,0.01,0.0,0.01,0.16
76,6400,Family Feud: 2010 Edition,DS,2009,Misc,Ubisoft,0.25,0.0,0.0,0.02,0.27
77,3532,Dogz,DS,2006,Simulation,Ubisoft,0.51,0.02,0.0,0.04,0.57
78,3222,Battle of Giants: Dragons,DS,2009,Strategy,Ubisoft,0.31,0.25,0.0,0.06,0.63
79,3380,Asphalt: Urban GT,DS,2004,Racing,Ubisoft,0.31,0.22,0.0,0.06,0.6
80,3612,Catz,DS,2006,Simulation,Ubisoft,0.49,0.02,0.0,0.04,0.56
81,13364,TMNT,DS,2007,Action,Ubisoft,0.03,0.01,0.0,0.0,0.05
82,4160,Hamsterz Life,DS,2006,Action,Ubisoft,0.43,0.01,0.0,0.04,0.47
83,4333,Brain Challenge,DS,2008,Misc,Ubisoft,0.41,0.01,0.0,0.03,0.45
84,4461,Petz: Horsez 2,DS,2007,Simulation,Ubisoft,0.41,0.0,0.0,0.03,0.44
85,4561,The Smurfs,DS,2011,Action,Ubisoft,0.24,0.14,0.0,0.04,0.43
86,4599,Horsez,DS,2006,Simulation,Ubisoft,0.38,0.01,0.0,0.03,0.42
87,5352,Style Lab: Jewelry Design,DS,2009,Simulation,Ubisoft,0.32,0.0,0.0,0.02,0.34
88,5822,Imagine: Family Doctor,DS,2009,Simulation,Ubisoft,0.28,0.01,0.0,0.02,0.3
89,5907,John Deere: Harvest in the Heartland,DS,2007,Simulation,Ubisoft,0.23,0.04,0.0,0.02,0.3
90,6240,My Japanese Coach,DS,2008,Misc,Ubisoft,0.25,0.0,0.0,0.02,0.28
91,6450,Rayman DS,DS,2005,Platform,Ubisoft,0.21,0.04,0.0,0.02,0.26
92,6639,Scrabble,DS,2009,Misc,Ubisoft,0.21,0.02,0.0,0.03,0.25
93,6639,Scrabble,DS,2009,Misc,Ubisoft,0.21,0.02,0.0,0.03,0.25
94,6813,Final Fantasy Fables: Chocobo Tales,DS,2006,Adventure,Ubisoft,0.11,0.01,0.12,0.01,0.24
95,6966,The Smurfs 2,DS,2013,Platform,Ubisoft,0.0,0.21,0.0,0.02,0.23
96,7665,My Secret World by Imagine,DS,2008,Misc,Ubisoft,0.0,0.2,0.0,0.0,0.2
97,9304,Open Season,DS,2006,Platform,Ubisoft,0.12,0.0,0.0,0.01,0.14
98,10684,Star Wars: Lethal Alliance,DS,2006,Action,Ubisoft,0.08,0.01,0.0,0.01,0.1
99,9626,Teenage Mutant Ninja Turtles: Arcade Attack,DS,2009,Action,Ubisoft,0.12,0.0,0.0,0.01,0.13
100,9897,Battles of Prince of Persia,DS,2005,Strategy,Ubisoft,0.1,0.01,0.0,0.01,0.12
101,9989,Puzzler World 2,DS,2010,Puzzle,Ubisoft,0.02,0.07,0.0,0.02,0.12
102,10062,The Settlers,DS,2007,Action,Ubisoft,0.1,0.0,0.0,0.01,0.11
103,11335,Miami Nights: Singles in the City,DS,2008,Simulation,Ubisoft,0.08,0.0,0.0,0.01,0.08
104,11707,Mind Quiz: Your Brain Coach,DS,2006,Misc,Ubisoft,0.0,0.0,0.08,0.0,0.08
105,11807,CSI: Dark Motives,DS,2007,Adventure,Ubisoft,0.05,0.01,0.0,0.01,0.07
106,12161,Prince of Persia: The Fallen King,DS,2008,Action,Ubisoft,0.06,0.01,0.0,0.01,0.07
107,12379,Star Trek: Tactical Assault,DS,2006,Strategy,Ubisoft,0.05,0.01,0.0,0.0,0.06
108,13621,Platinum Sudoku,DS,2007,Puzzle,Ubisoft,0.03,0.01,0.0,0.0,0.04
109,3212,Just Dance 3,PS3,2011,Misc,Ubisoft,0.33,0.21,0.0,0.09,0.63
110,4475,Just Dance 4,PS3,2012,Misc,Ubisoft,0.26,0.12,0.0,0.06,0.44
111,3706,Michael Jackson: The Experience,PS3,2011,Misc,Ubisoft,0.25,0.2,0.0,0.08,0.54
112,446,The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,1.69,0.87,0.14,0.42,3.12
113,893,Watch Dogs,PS3,2014,Action,Ubisoft,0.56,0.89,0.1,0.37,1.93
114,1339,Far Cry 4,PS3,2014,Shooter,Ubisoft,0.33,0.79,0.08,0.23,1.44
115,4880,Just Dance 2014,PS3,2013,Misc,Ubisoft,0.17,0.15,0.0,0.07,0.39
116,383,Far Cry 3,PS3,2012,Shooter,Ubisoft,0.88,1.75,0.1,0.72,3.45
117,6201,Just Dance 2015,PS3,2014,Misc,Ubisoft,0.12,0.11,0.0,0.05,0.28
118,1385,Far Cry 2,PS3,2008,Action,Ubisoft,0.43,0.7,0.01,0.27,1.4
119,7260,Just Dance 2016,PS3,2015,Misc,Ubisoft,0.1,0.08,0.0,0.04,0.22
120,1759,Rocksmith,PS3,2011,Misc,Ubisoft,0.52,0.38,0.09,0.17,1.16
121,1896,Prince of Persia,PS3,2008,Action,Ubisoft,0.47,0.41,0.03,0.18,1.08
122,10839,Dance on Broadway,PS3,2011,Misc,Ubisoft,0.05,0.03,0.0,0.01,0.09
123,2018,Rayman Origins,PS3,2011,Platform,Ubisoft,0.33,0.51,0.01,0.18,1.03
124,3071,Rayman Legends,PS3,2013,Platform,Ubisoft,0.14,0.38,0.0,0.14,0.66
125,2067,Haze,PS3,2008,Shooter,Ubisoft,0.49,0.33,0.02,0.15,1.0
126,2076,Rocksmith 2014,PS3,2013,Misc,Ubisoft,0.51,0.27,0.05,0.15,1.0
127,2118,South Park: The Stick of Truth,PS3,2014,Role-Playing,Ubisoft,0.42,0.38,0.0,0.17,0.98
128,2119,Driver: San Francisco,PS3,2011,Racing,Ubisoft,0.24,0.54,0.01,0.18,0.98
129,2327,Call of Juarez: Bound in Blood,PS3,2009,Shooter,Ubisoft,0.35,0.38,0.01,0.16,0.89
130,3018,Blazing Angels: Squadrons of WWII,PS3,2006,Simulation,Ubisoft,0.35,0.22,0.0,0.1,0.67
131,3055,Shaun White Snowboarding,PS3,2008,Sports,Ubisoft,0.31,0.24,0.01,0.1,0.66
132,2923,Prince of Persia: The Forgotten Sands,PS3,2010,Action,Ubisoft,0.19,0.36,0.01,0.13,0.7
133,3915,Lost: Via Domus,PS3,2008,Action,Ubisoft,0.19,0.23,0.0,0.09,0.51
134,3886,Prince of Persia Trilogy,PS3,2010,Action,Ubisoft,0.17,0.25,0.0,0.09,0.51
135,3921,R.U.S.E.,PS3,2010,Strategy,Ubisoft,0.18,0.22,0.02,0.09,0.51
136,7119,Child of Eden,PS3,2011,Shooter,Ubisoft,0.09,0.1,0.0,0.04,0.23
137,6662,Just Dance Kids 2,PS3,2011,Misc,Ubisoft,0.1,0.1,0.0,0.04,0.25
138,8541,Beowulf: The Game,PS3,2007,Action,Ubisoft,0.14,0.01,0.0,0.01,0.16
139,5308,Racquet Sports,PS3,2010,Sports,Ubisoft,0.11,0.17,0.0,0.06,0.35
140,6322,The Adventures of Tintin: The Game,PS3,2011,Action,Ubisoft,0.06,0.16,0.0,0.05,0.27
141,5925,Call of Juarez: The Cartel,PS3,2011,Shooter,Ubisoft,0.12,0.13,0.0,0.05,0.3
142,10177,The Smurfs 2,PS3,2013,Platform,Ubisoft,0.02,0.07,0.0,0.02,0.11
143,7921,CSI: Fatal Conspiracy,PS3,2010,Adventure,Ubisoft,0.11,0.05,0.0,0.02,0.19
144,7504,Enchanted Arms,PS3,2007,Role-Playing,Ubisoft,0.17,0.01,0.0,0.02,0.2
145,7835,Armored Core: For Answer,PS3,2008,Simulation,Ubisoft,0.06,0.02,0.1,0.01,0.19
146,7892,Shaun White Skateboarding,PS3,2010,Sports,Ubisoft,0.11,0.05,0.0,0.03,0.19
147,8419,WRC 2: FIA World Rally Championship,PS3,2011,Racing,Ubisoft,0.0,0.13,0.0,0.04,0.17
148,8788,Blazing Angels 2: Secret Missions of WWII,PS3,2007,Simulation,Ubisoft,0.1,0.03,0.0,0.02,0.15
149,9600,Fit in Six,PS3,2011,Sports,Ubisoft,0.12,0.0,0.0,0.01,0.13
150,11873,Rugby World Cup 2015,PS3,2015,Sports,Ubisoft,0.0,0.06,0.0,0.01,0.07
151,840,Just Dance 3,X360,2011,Misc,Ubisoft,1.47,0.4,0.0,0.16,2.03
152,1705,Just Dance 4,X360,2012,Misc,Ubisoft,0.9,0.2,0.0,0.08,1.19
153,2361,Michael Jackson: The Experience,X360,2011,Misc,Ubisoft,0.62,0.2,0.0,0.07,0.88
154,1541,Watch Dogs,X360,2014,Action,Ubisoft,0.72,0.45,0.01,0.11,1.28
155,2121,Far Cry 4,X360,2014,Shooter,Ubisoft,0.45,0.44,0.0,0.08,0.98
156,2110,Just Dance 2014,X360,2013,Misc,Ubisoft,0.72,0.19,0.0,0.07,0.98
157,460,Far Cry 3,X360,2012,Shooter,Ubisoft,1.38,1.35,0.02,0.28,3.04
158,3189,Just Dance 2015,X360,2014,Misc,Ubisoft,0.41,0.16,0.0,0.06,0.63
159,6447,The Crew,X360,2014,Racing,Ubisoft,0.06,0.18,0.0,0.02,0.26
160,1153,Far Cry 2,X360,2008,Action,Ubisoft,0.71,0.69,0.02,0.18,1.6
161,7379,Rayman Raving Rabbids,X360,2007,Misc,Ubisoft,0.18,0.01,0.0,0.02,0.21
162,5228,Just Dance 2016,X360,2015,Misc,Ubisoft,0.23,0.1,0.0,0.03,0.36
163,1721,Your Shape: Fitness Evolved 2012,X360,2011,Sports,Ubisoft,0.7,0.37,0.0,0.1,1.17
164,1825,Rocksmith,X360,2011,Misc,Ubisoft,0.84,0.2,0.01,0.08,1.12
165,2044,Prince of Persia,X360,2008,Action,Ubisoft,0.54,0.35,0.02,0.1,1.01
166,2601,Rayman Origins,X360,2011,Platform,Ubisoft,0.38,0.34,0.0,0.08,0.79
167,4297,Rayman Legends,X360,2013,Platform,Ubisoft,0.19,0.23,0.0,0.04,0.46
168,2201,Rocksmith 2014,X360,2013,Misc,Ubisoft,0.69,0.17,0.0,0.08,0.94
169,2179,South Park: The Stick of Truth,X360,2014,Role-Playing,Ubisoft,0.57,0.3,0.0,0.08,0.95
170,2850,Driver: San Francisco,X360,2011,Racing,Ubisoft,0.25,0.39,0.0,0.08,0.72
171,3334,Call of Juarez: Bound in Blood,X360,2009,Shooter,Ubisoft,0.3,0.24,0.0,0.06,0.61
172,10696,CSI: Hard Evidence,X360,2007,Adventure,Ubisoft,0.07,0.02,0.0,0.01,0.1
173,4635,Blazing Angels: Squadrons of WWII,X360,2006,Simulation,Ubisoft,0.36,0.03,0.0,0.03,0.42
174,2530,Shaun White Snowboarding,X360,2006,Sports,Ubisoft,0.48,0.26,0.0,0.08,0.82
175,3243,Prince of Persia: The Forgotten Sands,X360,2010,Action,Ubisoft,0.3,0.26,0.0,0.06,0.62
176,5534,The Black Eyed Peas Experience,X360,2011,Misc,Ubisoft,0.2,0.1,0.0,0.03,0.33
177,3333,Fighters Uncaged,X360,2010,Fighting,Ubisoft,0.31,0.24,0.0,0.06,0.61
178,3406,Naruto: The Broken Bond,X360,2008,Action,Ubisoft,0.24,0.28,0.0,0.07,0.59
179,3427,Lost: Via Domus,X360,2008,Action,Ubisoft,0.18,0.34,0.0,0.07,0.59
180,3655,TMNT,X360,2007,Action,Ubisoft,0.47,0.04,0.0,0.04,0.55
181,6294,R.U.S.E.,X360,2010,Strategy,Ubisoft,0.12,0.12,0.0,0.03,0.27
182,4444,Child of Eden,X360,2011,Shooter,Ubisoft,0.28,0.12,0.0,0.04,0.44
183,4763,Just Dance Kids 2,X360,2011,Misc,Ubisoft,0.29,0.09,0.0,0.03,0.41
184,4785,Beowulf: The Game,X360,2007,Action,Ubisoft,0.36,0.01,0.0,0.03,0.4
185,6767,The Adventures of Tintin: The Game,X360,2011,Action,Ubisoft,0.07,0.14,0.0,0.03,0.25
186,5472,Naruto: Rise of a Ninja,X360,2007,Action,Ubisoft,0.29,0.02,0.0,0.03,0.33
187,5850,PowerUp Heroes,X360,2011,Fighting,Ubisoft,0.18,0.1,0.0,0.03,0.3
188,6349,Call of Juarez: The Cartel,X360,2011,Shooter,Ubisoft,0.14,0.11,0.0,0.03,0.27
189,7485,CSI: Deadly Intent,X360,2009,Adventure,Ubisoft,0.1,0.08,0.0,0.02,0.21
190,9452,The Smurfs 2,X360,2013,Platform,Ubisoft,0.03,0.09,0.0,0.01,0.13
191,8357,CSI: Fatal Conspiracy,X360,2010,Adventure,Ubisoft,0.11,0.04,0.0,0.01,0.17
192,7302,Over G Fighters,X360,2006,Simulation,Ubisoft,0.19,0.01,0.0,0.02,0.22
193,7766,Enchanted Arms,X360,2006,Role-Playing,Ubisoft,0.16,0.02,0.0,0.02,0.19
194,10454,Family Feud: 2012 Edition,X360,2011,Misc,Ubisoft,0.1,0.0,0.0,0.01,0.1
195,8899,Armored Core: For Answer,X360,2008,Simulation,Ubisoft,0.06,0.01,0.07,0.01,0.15
196,8620,Shaun White Skateboarding,X360,2010,Sports,Ubisoft,0.1,0.05,0.0,0.01,0.16
197,7948,Star Trek: Legacy,X360,2006,Simulation,Ubisoft,0.14,0.03,0.0,0.02,0.19
198,7988,Call of Juarez,X360,2007,Shooter,Ubisoft,0.14,0.02,0.0,0.01,0.19
199,10115,Open Season,X360,2006,Platform,Ubisoft,0.1,0.0,0.0,0.01,0.11
200,11708,WRC 2: FIA World Rally Championship,X360,2011,Racing,Ubisoft,0.0,0.06,0.0,0.01,0.08
201,8632,Just Dance: Disney Party,X360,2012,Misc,Ubisoft,0.13,0.02,0.0,0.01,0.16
202,9134,Blazing Angels 2: Secret Missions of WWII,X360,2007,Simulation,Ubisoft,0.11,0.02,0.0,0.01,0.14
203,15532,Marvel Avengers: Battle for Earth,X360,2012,Action,Ubisoft,0.02,0.0,0.0,0.0,0.02
204,9896,Self-Defense Training Camp,X360,2011,Sports,Ubisoft,0.08,0.03,0.0,0.01,0.12
205,11867,Just Dance: Disney Party 2,X360,2015,Action,Ubisoft,0.05,0.01,0.0,0.01,0.07
206,13391,Rugby World Cup 2015,X360,2015,Sports,Ubisoft,0.0,0.04,0.0,0.0,0.05
207,13557,WarTech: Senko no Ronde,X360,2006,Fighting,Ubisoft,0.04,0.0,0.0,0.0,0.04
208,281,Watch Dogs,PS4,2014,Action,Ubisoft,1.4,1.86,0.11,0.77,4.14
209,296,Far Cry 4,PS4,2014,Shooter,Ubisoft,1.12,2.12,0.1,0.69,4.03
210,4916,Just Dance 2014,PS4,2013,Misc,Ubisoft,0.18,0.16,0.0,0.05,0.39
211,5060,Just Dance 2015,PS4,2014,Misc,Ubisoft,0.19,0.13,0.0,0.06,0.38
212,1051,The Crew,PS4,2014,Racing,Ubisoft,0.34,1.08,0.03,0.26,1.7
213,5347,Just Dance 2016,PS4,2015,Misc,Ubisoft,0.16,0.13,0.0,0.06,0.35
214,2055,Rayman Legends,PS4,2014,Platform,Ubisoft,0.21,0.61,0.0,0.18,1.01
215,3275,Rocksmith 2014,PS4,2014,Misc,Ubisoft,0.34,0.17,0.0,0.11,0.62
216,4507,Trials Fusion,PS4,2014,Racing,Ubisoft,0.13,0.21,0.01,0.08,0.43
217,5623,TrackMania Turbo,PS4,2016,Action,Ubisoft,0.03,0.24,0.0,0.05,0.32
218,13072,Child of Light,PS4,2014,Role-Playing,Ubisoft,0.0,0.01,0.04,0.0,0.05
219,10893,The Crew: Wild Run,PS4,2015,Action,Ubisoft,0.0,0.08,0.0,0.01,0.09
220,12728,Rugby World Cup 2015,PS4,2015,Sports,Ubisoft,0.0,0.05,0.0,0.01,0.06
221,12078,Toy Soldiers: War Chest,PS4,2015,Action,Ubisoft,0.06,0.0,0.0,0.01,0.07
222,1204,Watch Dogs,XOne,2014,Action,Ubisoft,0.9,0.53,0.0,0.13,1.55
223,1149,Far Cry 4,XOne,2014,Shooter,Ubisoft,0.79,0.68,0.01,0.13,1.61
224,4410,Just Dance 2014,XOne,2013,Misc,Ubisoft,0.3,0.11,0.0,0.04,0.45
225,3818,Just Dance 2015,XOne,2014,Misc,Ubisoft,0.35,0.13,0.0,0.05,0.53
226,3221,The Crew,XOne,2014,Racing,Ubisoft,0.24,0.34,0.0,0.05,0.63
227,5693,Just Dance 2016,XOne,2015,Misc,Ubisoft,0.24,0.04,0.0,0.03,0.32
228,5411,Rayman Legends,XOne,2014,Platform,Ubisoft,0.13,0.18,0.0,0.03,0.34
229,4816,Rocksmith 2014,XOne,2014,Misc,Ubisoft,0.29,0.08,0.0,0.04,0.4
230,6780,Trials Fusion,XOne,2014,Racing,Ubisoft,0.12,0.1,0.0,0.02,0.24
231,12581,TrackMania Turbo,XOne,2016,Action,Ubisoft,0.02,0.03,0.0,0.0,0.06
232,15615,The Crew: Wild Run,XOne,2015,Action,Ubisoft,0.0,0.02,0.0,0.0,0.02
233,12119,Just Dance: Disney Party 2,XOne,2015,Action,Ubisoft,0.05,0.01,0.0,0.01,0.07
234,15156,Rugby World Cup 2015,XOne,2015,Sports,Ubisoft,0.0,0.02,0.0,0.0,0.02
235,12960,Toy Soldiers: War Chest,XOne,2015,Action,Ubisoft,0.05,0.0,0.0,0.01,0.05
236,4335,Watch Dogs,PC,2014,Action,Ubisoft,0.14,0.26,0.0,0.05,0.45
237,3249,Far Cry 4,PC,2014,Shooter,Ubisoft,0.15,0.42,0.0,0.05,0.62
238,14483,Resident Evil 4,PC,2007,Action,Ubisoft,0.0,0.02,0.0,0.01,0.03
239,14483,Resident Evil 4,PC,2007,Action,Ubisoft,0.0,0.02,0.0,0.01,0.03
240,2108,Far Cry 3,PC,2012,Shooter,Ubisoft,0.21,0.62,0.0,0.14,0.98
241,8600,The Crew,PC,2014,Racing,Ubisoft,0.0,0.15,0.0,0.01,0.16
242,4078,Far Cry 2,PC,2008,Action,Ubisoft,0.01,0.45,0.0,0.03,0.49
243,1322,Anno 2070,PC,2011,Strategy,Ubisoft,0.0,1.13,0.0,0.32,1.45
244,16050,Rayman Raving Rabbids,PC,2006,Misc,Ubisoft,0.0,0.01,0.0,0.0,0.01
245,11605,Rayman Origins,PC,2012,Platform,Ubisoft,0.0,0.06,0.0,0.01,0.08
246,3072,Rocksmith 2014,PC,2013,Misc,Ubisoft,0.35,0.24,0.0,0.07,0.66
247,7684,South Park: The Stick of Truth,PC,2014,Role-Playing,Ubisoft,0.07,0.1,0.0,0.02,0.2
248,8058,Driver: San Francisco,PC,2011,Racing,Ubisoft,0.05,0.1,0.0,0.03,0.18
249,14222,Call of Juarez: Bound in Blood,PC,2009,Shooter,Ubisoft,0.0,0.03,0.0,0.01,0.03
250,15753,Blazing Angels: Squadrons of WWII,PC,2006,Simulation,Ubisoft,0.01,0.0,0.0,0.0,0.02
251,14241,Prince of Persia: The Forgotten Sands,PC,2010,Action,Ubisoft,0.0,0.03,0.0,0.0,0.03
252,15702,Lost: Via Domus,PC,2008,Action,Ubisoft,0.0,0.01,0.0,0.0,0.02
253,6254,R.U.S.E.,PC,2010,Strategy,Ubisoft,0.04,0.19,0.0,0.05,0.28
254,14246,Trials Fusion,PC,2014,Racing,Ubisoft,0.0,0.03,0.0,0.0,0.03
255,5621,The Settlers 7: Paths to a Kingdom,PC,2010,Strategy,Ubisoft,0.0,0.26,0.0,0.06,0.32
256,16389,TrackMania Turbo,PC,2016,Action,Ubisoft,0.0,0.01,0.0,0.0,0.01
257,10248,Call of Juarez: The Cartel,PC,2011,Shooter,Ubisoft,0.05,0.05,0.0,0.01,0.11
