Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
112,b'Just Dance 4',b'Wii',2012,b'Misc',b'Ubisoft',4.14,2.21,0.0,0.56,6.91
113,b'FIFA 14',b'PS3',2013,b'Sports',b'Electronic Arts',0.78,4.32,0.07,1.73,6.9
114,b'Need for Speed Underground 2',b'PS2',2004,b'Racing',b'Electronic Arts',2.71,3.02,0.08,1.09,6.9
115,b'Medal of Honor: Frontline',b'PS2',2002,b'Shooter',b'Electronic Arts',2.93,2.75,0.17,0.99,6.83
116,"b""Uncharted 3: Drake's Deception""",b'PS3',2011,b'Action',b'Sony Computer Entertainment',2.77,2.8,0.19,1.06,6.83
117,b'Crash Bandicoot',b'PS',1996,b'Platform',b'Sony Computer Entertainment',3.23,2.35,0.94,0.3,6.82
118,b'Zumba Fitness',b'Wii',2010,b'Sports',b'505 Games',3.5,2.64,0.0,0.67,6.81
119,b'Gears of War 2',b'X360',2008,b'Shooter',b'Microsoft Game Studios',4.15,1.92,0.06,0.64,6.76
120,b'Uncharted 2: Among Thieves',b'PS3',2009,b'Action',b'Sony Computer Entertainment',3.27,2.25,0.21,1.0,6.73
121,b'Call of Duty 4: Modern Warfare',b'PS3',2007,b'Shooter',b'Activision',3.1,2.3,0.28,1.04,6.72
122,b'FIFA 12',b'PS3',2011,b'Sports',b'Electronic Arts',0.84,4.32,0.11,1.42,6.69
123,b'Big Brain Academy',b'DS',2005,b'Misc',b'Nintendo',1.67,2.78,1.6,0.62,6.67
124,b'Red Dead Redemption',b'PS3',2010,b'Action',b'Take-Two Interactive',2.79,2.61,0.17,1.03,6.6
125,b'FIFA 15',b'PS4',2014,b'Sports',b'Electronic Arts',0.79,4.29,0.05,1.47,6.59
126,b'Donkey Kong Country Returns',b'Wii',2010,b'Platform',b'Nintendo',3.25,1.84,1.03,0.47,6.59
127,b'The Elder Scrolls V: Skyrim',b'PS3',2011,b'Role-Playing',b'Bethesda Softworks',2.55,2.71,0.25,1.05,6.56
128,b'The Legend of Zelda',b'NES',1986,b'Action',b'Nintendo',3.74,0.93,1.69,0.14,6.51
129,"b""Assassin's Creed III""",b'PS3',2012,b'Action',b'Ubisoft',2.64,2.56,0.16,1.14,6.5
130,b'Halo: Combat Evolved',b'XB',2001,b'Shooter',b'Microsoft Game Studios',4.98,1.3,0.08,0.07,6.43
131,b'Pok\xe9mon Emerald Version',b'GBA',2004,b'Role-Playing',b'Nintendo',2.57,1.58,2.06,0.21,6.41
132,b'Kingdom Hearts',b'PS2',2002,b'Role-Playing',b'Sony Computer Entertainment',3.64,1.2,1.49,0.07,6.4
133,b'Pok\xe9mon Crystal Version',b'GB',2000,b'Role-Playing',b'Nintendo',2.55,1.56,1.29,0.99,6.39
134,b'Halo 3: ODST',b'X360',2009,b'Shooter',b'Microsoft Game Studios',4.34,1.35,0.06,0.61,6.36
135,b'Red Dead Redemption',b'X360',2010,b'Action',b'Take-Two Interactive',3.7,1.97,0.09,0.57,6.34
136,b'Super Mario Sunshine',b'GC',2002,b'Platform',b'Nintendo',4.01,1.26,0.87,0.17,6.31
137,b'Street Fighter II: The World Warrior',b'SNES',1992,b'Fighting',b'Capcom',2.47,0.83,2.87,0.12,6.3
138,b'World of Warcraft',b'PC',2004,b'Role-Playing',b'Activision',0.07,6.21,0.0,0.0,6.28
139,b'Driver',b'PS',1999,b'Action',b'GT Interactive',3.11,2.8,0.02,0.33,6.27
140,b'Kinect Sports',b'X360',2010,b'Sports',b'Microsoft Game Studios',3.92,1.78,0.03,0.51,6.24
141,b'Gears of War 3',b'X360',2011,b'Shooter',b'Microsoft Game Studios',4.05,1.62,0.07,0.49,6.24
142,b'Gears of War',b'X360',2006,b'Shooter',b'Microsoft Game Studios',3.54,1.9,0.07,0.6,6.11
143,b'Metal Gear Solid 2: Sons of Liberty',b'PS2',2001,b'Action',b'Konami Digital Entertainment',2.45,2.01,0.87,0.72,6.05
144,b'Sonic the Hedgehog 2',b'GEN',1992,b'Platform',b'Sega',4.47,1.2,0.16,0.19,6.03
145,b'Metal Gear Solid 4: Guns of the Patriots',b'PS3',2008,b'Action',b'Konami Digital Entertainment',2.63,1.74,0.83,0.83,6.03
146,b'Metal Gear Solid',b'PS',1998,b'Action',b'Konami Digital Entertainment',3.18,1.83,0.78,0.24,6.03
147,b'The Last of Us',b'PS3',2013,b'Action',b'Sony Computer Entertainment Europe',2.41,2.28,0.28,1.01,5.99
148,b'Final Fantasy XII',b'PS2',2006,b'Role-Playing',b'Square Enix',1.88,0.0,2.33,1.74,5.95
149,b'LittleBigPlanet',b'PS3',2008,b'Platform',b'Sony Computer Entertainment',2.8,2.05,0.17,0.9,5.92
150,b'Dragon Quest IX: Sentinels of the Starry Skies',b'DS',2009,b'Role-Playing',b'Nintendo',0.66,0.69,4.35,0.15,5.84
151,b'LEGO Star Wars: The Complete Saga',b'Wii',2007,b'Action',b'LucasArts',3.66,1.63,0.0,0.53,5.83
152,b'Resident Evil 2',b'PS',1998,b'Action',b'Virgin Interactive',1.88,1.47,2.02,0.45,5.82
153,b'Tekken 2',b'PS',1996,b'Fighting',b'Sony Computer Entertainment',2.26,1.89,1.36,0.23,5.74
154,b'Cooking Mama',b'DS',2006,b'Simulation',b'505 Games',3.13,1.94,0.07,0.58,5.72
155,b'Destiny',b'PS4',2014,b'Shooter',b'Activision',2.49,2.05,0.16,0.96,5.65
156,b'Tetris',b'NES',1988,b'Puzzle',b'Nintendo',2.97,0.69,1.81,0.11,5.58
157,"b""Assassin's Creed II""",b'PS3',2009,b'Action',b'Ubisoft',2.54,1.95,0.21,0.87,5.57
158,b'Super Smash Bros.',b'N64',1999,b'Fighting',b'Nintendo',2.95,0.6,1.97,0.04,5.55
159,"b""Assassin's Creed""",b'X360',2007,b'Adventure',b'Ubisoft',3.28,1.65,0.07,0.55,5.55
160,b'Batman: Arkham City',b'PS3',2011,b'Action',b'Warner Bros. Interactive Entertainment',2.7,1.91,0.11,0.8,5.53
161,b'Forza Motorsport 3',b'X360',2009,b'Racing',b'Microsoft Game Studios',2.99,1.92,0.1,0.51,5.51
162,b'Monster Hunter Freedom Unite',b'PSP',2008,b'Role-Playing',b'Capcom',0.47,0.57,4.13,0.34,5.5
163,b'Super Mario Advance',b'GBA',2001,b'Platform',b'Nintendo',3.14,1.24,0.91,0.2,5.49
164,b'Mario Kart: Super Circuit',b'GBA',2001,b'Racing',b'Nintendo',2.62,1.64,0.99,0.23,5.47
165,b'Super Mario World',b'GBA',2001,b'Platform',b'Nintendo',3.21,1.11,0.95,0.2,5.46
166,b'Pokemon Stadium',b'N64',1999,b'Strategy',b'Nintendo',3.18,1.24,0.94,0.09,5.45
167,b'Call of Duty: World at War',b'PS3',2008,b'Shooter',b'Activision',2.72,1.87,0.0,0.84,5.43
168,b'Crash Bandicoot: The Wrath of Cortex',b'PS2',2001,b'Platform',b'Universal Interactive',2.07,2.29,0.24,0.82,5.42
169,b'Minecraft',b'PS3',2014,b'Misc',b'Sony Computer Entertainment',1.97,2.51,0.0,0.94,5.42
170,b'Final Fantasy XIII',b'PS3',2009,b'Role-Playing',b'Square Enix',1.74,1.24,1.87,0.52,5.36
171,b'Dr. Mario',b'GB',1989,b'Puzzle',b'Nintendo',2.18,0.96,2.0,0.2,5.34
172,b'Pokemon Pinball',b'GB',1999,b'Misc',b'Nintendo',3.02,1.12,1.01,0.16,5.31
173,"b""Assassin's Creed III""",b'X360',2012,b'Action',b'Ubisoft',3.13,1.71,0.03,0.44,5.3
174,b'Final Fantasy IX',b'PS',2000,b'Role-Playing',b'SquareSoft',1.62,0.77,2.78,0.14,5.3
175,b'Final Fantasy X-2',b'PS2',2003,b'Role-Playing',b'Electronic Arts',1.92,1.08,2.11,0.17,5.29
176,b'Donkey Kong 64',b'N64',1999,b'Platform',b'Nintendo',3.33,0.79,1.09,0.06,5.27
177,"b""Assassin's Creed II""",b'X360',2009,b'Action',b'Ubisoft',3.1,1.56,0.08,0.51,5.27
178,b'Professor Layton and the Curious Village',b'DS',2007,b'Puzzle',b'Nintendo',1.22,2.48,1.03,0.52,5.26
179,b'Tomb Raider II',b'PS',1997,b'Action',b'Eidos Interactive',2.3,2.46,0.2,0.28,5.24
180,b'Madden NFL 2004',b'PS2',2006,b'Sports',b'Electronic Arts',4.26,0.26,0.01,0.71,5.23
181,b'Dragon Quest VIII: Journey of the Cursed King',b'PS2',2004,b'Role-Playing',b'Square Enix',0.65,0.75,3.61,0.2,5.21
182,b'Diablo III',b'PC',2012,b'Role-Playing',b'Activision',2.43,2.15,0.0,0.62,5.2
183,b'Super Mario Bros. 3',b'GBA',2003,b'Platform',b'Nintendo',2.93,1.25,0.83,0.2,5.2
184,b'New Super Mario Bros. U',b'WiiU',2012,b'Platform',b'Nintendo',2.32,1.3,1.27,0.31,5.19
185,b'Super Mario Land 3: Wario Land',b'GB',1994,b'Platform',b'Nintendo',2.49,0.98,1.57,0.15,5.19
186,b'FIFA Soccer 13',b'X360',2012,b'Action',b'Electronic Arts',1.08,3.48,0.03,0.58,5.18
187,b'The Legend of Zelda: Phantom Hourglass',b'DS',2007,b'Action',b'Nintendo',1.9,1.83,0.95,0.49,5.17
188,"b""Donkey Kong Country 2: Diddy's Kong Quest""",b'SNES',1995,b'Platform',b'Nintendo',2.1,0.74,2.2,0.11,5.15
189,b'Tomodachi Life',b'3DS',2013,b'Simulation',b'Nintendo',0.96,2.02,1.89,0.28,5.15
190,b'Mario & Sonic at the Olympic Games',b'DS',2008,b'Sports',b'Sega',1.64,2.48,0.44,0.58,5.14
191,b'Medal of Honor: Rising Sun',b'PS2',2003,b'Shooter',b'Electronic Arts',1.98,2.23,0.13,0.8,5.13
192,"b""Kirby's Dream Land""",b'GB',1992,b'Platform',b'Nintendo',2.71,0.61,1.7,0.11,5.13
193,b'Fable III',b'X360',2010,b'Role-Playing',b'Microsoft Game Studios',3.59,1.11,0.05,0.38,5.13
194,b'Call of Duty: Advanced Warfare',b'XOne',2014,b'Shooter',b'Activision',3.21,1.53,0.01,0.38,5.13
195,b'Microsoft Flight Simulator',b'PC',1996,b'Simulation',b'Microsoft Game Studios',3.22,1.69,0.0,0.2,5.12
196,b'Guitar Hero II',b'PS2',2006,b'Misc',b'RedOctane',3.81,0.63,0.0,0.68,5.12
197,b'Resident Evil 5',b'PS3',2009,b'Action',b'Capcom',1.96,1.43,1.08,0.65,5.11
198,b'Grand Theft Auto V',b'XOne',2014,b'Action',b'Take-Two Interactive',2.66,2.01,0.0,0.41,5.08
199,b'Grand Theft Auto: Vice City Stories',b'PSP',2006,b'Action',b'Take-Two Interactive',1.7,2.02,0.16,1.21,5.08
200,b'FIFA Soccer 11',b'PS3',2010,b'Sports',b'Electronic Arts',0.6,3.29,0.06,1.13,5.08
201,b'Super Mario Bros.',b'GB',1999,b'Platform',b'Nintendo',3.4,1.3,0.15,0.22,5.07
202,b'Resident Evil',b'PS',1996,b'Action',b'Virgin Interactive',2.05,1.16,1.11,0.73,5.05
203,"b""Tony Hawk's Pro Skater""",b'PS',1999,b'Sports',b'Activision',3.42,1.38,0.02,0.2,5.02
204,b'Super Smash Bros. for Wii U and 3DS',b'WiiU',2014,b'Fighting',b'Nintendo',2.59,1.06,0.8,0.57,5.02
205,b'Warzone 2100',b'PS',1999,b'Strategy',b'Eidos Interactive',2.79,1.89,0.0,0.33,5.01
206,b'Spyro the Dragon',b'PS',1998,b'Platform',b'Sony Computer Entertainment',3.36,1.36,0.07,0.21,5.0
207,"b""Link's Crossbow Training""",b'Wii',2007,b'Shooter',b'Nintendo',3.06,1.18,0.29,0.46,5.0
208,b'Guitar Hero III: Legends of Rock',b'PS2',2007,b'Misc',b'Activision',3.49,0.01,0.01,1.48,4.98
209,b'Fallout 3',b'X360',2008,b'Role-Playing',b'Bethesda Softworks',3.39,1.03,0.09,0.44,4.96
210,b'Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness',b'DS',2007,b'Role-Playing',b'Nintendo',1.85,1.2,1.54,0.37,4.96
211,"b""Uncharted: Drake's Fortune""",b'PS3',2007,b'Action',b'Sony Computer Entertainment',2.31,1.73,0.12,0.78,4.94
212,b'Madden NFL 06',b'PS2',2005,b'Sports',b'Electronic Arts',3.98,0.26,0.01,0.66,4.91
213,b'LEGO Star Wars: The Complete Saga',b'DS',2007,b'Action',b'LucasArts',2.89,1.54,0.0,0.46,4.9
214,b'Diddy Kong Racing',b'N64',1997,b'Racing',b'Nintendo',2.91,0.99,0.89,0.1,4.88
215,b'Monster Hunter Freedom 3',b'PSP',2010,b'Role-Playing',b'Capcom',0.0,0.0,4.87,0.0,4.87
216,b'Dr. Mario',b'NES',1990,b'Puzzle',b'Nintendo',2.62,0.6,1.52,0.1,4.85
217,b'God of War III',b'PS3',2010,b'Action',b'Sony Computer Entertainment',2.74,1.36,0.12,0.63,4.84
218,b'StarCraft II: Wings of Liberty',b'PC',2010,b'Strategy',b'Activision',2.56,1.68,0.0,0.59,4.83
219,"b""Assassin's Creed""",b'PS3',2007,b'Adventure',b'Ubisoft',1.91,2.0,0.09,0.83,4.83
220,b'FIFA 15',b'PS3',2014,b'Sports',b'Electronic Arts',0.57,3.14,0.04,1.07,4.82
221,b'Crash Team Racing',b'PS',1999,b'Racing',b'Sony Computer Entertainment',2.57,1.57,0.44,0.21,4.79
222,b'FIFA 17',b'PS4',2016,b'Sports',b'Electronic Arts',0.28,3.75,0.06,0.69,4.77
223,b'Batman: Arkham City',b'X360',2011,b'Action',b'Warner Bros. Interactive Entertainment',2.99,1.31,0.04,0.41,4.76
224,b'Driver 2',b'PS',2000,b'Action',b'Atari',2.36,2.1,0.02,0.25,4.73
225,b'The Simpsons: Hit & Run',b'PS2',2003,b'Racing',b'Vivendi Games',1.73,2.19,0.0,0.79,4.7
226,"b""Tony Hawk's Pro Skater 2""",b'PS',2000,b'Sports',b'Activision',3.05,1.41,0.02,0.2,4.68
227,b'Animal Crossing: City Folk',b'Wii',2008,b'Simulation',b'Nintendo',1.87,1.12,1.32,0.37,4.68
228,b'The Lord of the Rings: The Two Towers',b'PS2',2002,b'Action',b'Electronic Arts',1.94,1.95,0.08,0.7,4.67
